measure_id,source_id,n_sources,pipeline,via,category,subcategory,measure_type,unit,scale,time_resolution,vintage,vintage_min,vintage_max,vintage_release,vintage_lag,compiler_first_year,compiler_last_year,compiler_citation,expected_national,expected_state,expected_county,actual_national,actual_state,actual_county,parity_flag,display_status,duplicate_group,duplicate_note,coverage_states,n_states_with_data,n_counties_with_data,n_states_with_county_data,n_observations,time_min,time_max
acs_AGE,acs5,1,census,direct,population_demographics,NA,number,Years,NA,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_AGE,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_BDB,acs5,1,census,direct,social_determinants_of_health,neighborhood_and_built_environment,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_BDB,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_BTH,acs5,1,census,direct,maternal_and_infant_health,NA,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_BTH,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19644,2019-12-31,2024-12-31
acs_DCY,acs5,1,census,direct,social_determinants_of_health,education_access_and_quality,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_DCY,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3230,52,19629,2019-12-31,2024-12-31
acs_DEP,acs5,1,census,direct,population_demographics,NA,number,Ratio,NA,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_DEP,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_DIS,acs5,1,census,direct,population_demographics,NA,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_DIS,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_EDB,acs5,1,census,direct,social_determinants_of_health,education_access_and_quality,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_EDB,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_EDC,acs5,1,census,direct,social_determinants_of_health,education_access_and_quality,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_EDC,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_GNI,acs5,1,census,direct,social_determinants_of_health,economic_stability,number,Index (0-1),NA,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_GNI,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
acs_GRP,acs5,1,census,direct,social_determinants_of_health,neighborhood_and_built_environment,percent,NA,0-1,Year,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,TRUE,TRUE,TRUE,NA,primary,acs_GRP,NA,01;02;04;05;06;08;09;10;11;12;13;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;53;54;55;56;72,52,3231,52,19646,2019-12-31,2024-12-31
