geography	time	measure	value
37027	2010-12-31	chr_access_to_healthy_foods	0.428571428571429
37027	2010-12-31	chr_adult_obesity	0.299
37027	2010-12-31	chr_adult_smoking	0.2518
37027	2010-12-31	chr_air_pollution_ozone_days	3
37027	2010-12-31	chr_air_pollution_particulate_matter_days	2
37027	2010-12-31	chr_binge_drinking	0.0711
37027	2010-12-31	chr_children_in_poverty	0.192
37027	2010-12-31	chr_college_degrees	0.120972413293751
37027	2010-12-31	chr_diabetes_monitoring	0.7893
37027	2010-12-31	chr_high_school_graduation	0.709908069458631
37027	2010-12-31	chr_homicides	4.9
37027	2010-12-31	chr_hospice_use	0.418688892545886
37027	2010-12-31	chr_inadequate_social_support	0.219
37027	2010-12-31	chr_income_inequality	42.4
37027	2010-12-31	chr_liquor_store_density	0.505759334420716
37027	2010-12-31	chr_low_birth_weight	0.0868
37027	2010-12-31	chr_motor_vehicle_crash_deaths	20.9
37027	2010-12-31	chr_poor_mental_health_days	4.12
37027	2010-12-31	chr_poor_or_fair_health	0.2043
37027	2010-12-31	chr_poor_physical_health_days	4.38
37027	2010-12-31	chr_premature_death	9146.6
37027	2010-12-31	chr_preventable_hospital_stays	86.4712978424226
37027	2010-12-31	chr_primary_care_physicians	49.532615322
37027	2010-12-31	chr_sexually_transmitted_infections	222.9
37027	2010-12-31	chr_single_parent_households	0.0798530549110596
37027	2010-12-31	chr_teen_births	63.2
37027	2010-12-31	chr_unemployment	0.081
37027	2010-12-31	chr_uninsured_adults	0.141
37027	2011-12-31	chr_65_and_older	0.156
37027	2011-12-31	chr_access_to_healthy_foods	1
37027	2011-12-31	chr_access_to_recreational_facilities	8
37027	2011-12-31	chr_adult_obesity	0.308
37027	2011-12-31	chr_adult_smoking	0.258
37027	2011-12-31	chr_air_pollution_ozone_days	4
37027	2011-12-31	chr_air_pollution_particulate_matter_days	0
37027	2011-12-31	chr_american_indian_or_alaska_native	0.003
37027	2011-12-31	chr_asian	0.006
37027	2011-12-31	chr_below_18_years_of_age	0.227
37027	2011-12-31	chr_binge_drinking	0.072
37027	2011-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.392
37027	2011-12-31	chr_children_in_poverty	0.207
37027	2011-12-31	chr_children_in_single_parent_households	0.296
37027	2011-12-31	chr_diabetes_monitoring	0.840691
37027	2011-12-31	chr_diabetes_prevalence	0.099
37027	2011-12-31	chr_driving_alone_to_work	0.86
37027	2011-12-31	chr_excessive_drinking	0.088
37027	2011-12-31	chr_female	0.508
37027	2011-12-31	chr_high_housing_costs	0.274
37027	2011-12-31	chr_high_school_graduation	0.794
37027	2011-12-31	chr_hispanic	0.044
37027	2011-12-31	chr_hiv_prevalence	72
37027	2011-12-31	chr_homicides	4.4
37027	2011-12-31	chr_illiteracy	0.123
37027	2011-12-31	chr_inadequate_social_support	0.226
37027	2011-12-31	chr_liquor_store_density	4
37027	2011-12-31	chr_low_birth_weight	0.0899
37027	2011-12-31	chr_mammography_screening	0.64026400000000006
37027	2011-12-31	chr_median_household_income	40966
37027	2011-12-31	chr_mental_health_providers	3.8e-5
37027	2011-12-31	chr_motor_vehicle_crash_deaths	18.7
37027	2011-12-31	chr_native_hawaiian_or_other_pacific_islander	0
37027	2011-12-31	chr_non_hispanic_black	0.054
37027	2011-12-31	chr_not_proficient_in_english	0.017
37027	2011-12-31	chr_physical_inactivity	0.277
37027	2011-12-31	chr_poor_mental_health_days	4.4
37027	2011-12-31	chr_poor_or_fair_health	0.203
37027	2011-12-31	chr_poor_physical_health_days	4.4
37027	2011-12-31	chr_population	79914
37027	2011-12-31	chr_premature_death	8752.2
37027	2011-12-31	chr_preventable_hospital_stays	78.2692
37027	2011-12-31	chr_primary_care_physicians	5.259071899e-4
37027	2011-12-31	chr_rural	0.378
37027	2011-12-31	chr_sexually_transmitted_infections	198.6
37027	2011-12-31	chr_some_college	0.47
37027	2011-12-31	chr_teen_births	62.7
37027	2011-12-31	chr_unemployment	0.154
37027	2011-12-31	chr_uninsured_adults	0.161
37027	2012-12-31	chr_65_and_older	0.156
37027	2012-12-31	chr_access_to_healthy_foods	1
37027	2012-12-31	chr_access_to_recreational_facilities	6.25672598042896
37027	2012-12-31	chr_adult_obesity	0.303
37027	2012-12-31	chr_adult_smoking	0.267
37027	2012-12-31	chr_air_pollution_ozone_days	4
37027	2012-12-31	chr_air_pollution_particulate_matter_days	0
37027	2012-12-31	chr_american_indian_or_alaska_native	0.003
37027	2012-12-31	chr_asian	0.006
37027	2012-12-31	chr_below_18_years_of_age	0.227
37027	2012-12-31	chr_children_eligible_for_free_or_reduced_price_lunch	0.392
37027	2012-12-31	chr_children_in_poverty	0.285
37027	2012-12-31	chr_children_in_single_parent_households	0.297518878101402
37027	2012-12-31	chr_could_not_see_doctor_due_to_cost	0.198
37027	2012-12-31	chr_dentists	2.2062067951169e-4
37027	2012-12-31	chr_diabetes_monitoring	0.860239162929746
37027	2012-12-31	chr_diabetes_prevalence	0.105
37027	2012-12-31	chr_driving_alone_to_work	0.845731460609213
37027	2012-12-31	chr_excessive_drinking	0.087
37027	2012-12-31	chr_fast_food_restaurants	0.608247422680412
37027	2012-12-31	chr_female	0.508
37027	2012-12-31	chr_health_care_costs	9129.61
37027	2012-12-31	chr_high_housing_costs	0.259298312883436
37027	2012-12-31	chr_high_school_graduation	0.844
37027	2012-12-31	chr_hispanic	0.044
37027	2012-12-31	chr_hiv_prevalence	73.232
37027	2012-12-31	chr_homicides	4.327
37027	2012-12-31	chr_illiteracy	0.123
37027	2012-12-31	chr_inadequate_social_support	0.224
37027	2012-12-31	chr_limited_access_to_healthy_foods	0.2328
37027	2012-12-31	chr_low_birth_weight	0.089
37027	2012-12-31	chr_mammography_screening	0.698612862547289
37027	2012-12-31	chr_median_household_income	36860
37027	2012-12-31	chr_mental_health_providers	3.8e-5
37027	2012-12-31	chr_motor_vehicle_crash_deaths	17.6679400804432
37027	2012-12-31	chr_native_hawaiian_or_other_pacific_islander	0
37027	2012-12-31	chr_non_hispanic_black	0.054
37027	2012-12-31	chr_not_proficient_in_english	0.0198763535925864
37027	2012-12-31	chr_physical_inactivity	0.275
37027	2012-12-31	chr_poor_mental_health_days	4.3
37027	2012-12-31	chr_poor_or_fair_health	0.209
37027	2012-12-31	chr_poor_physical_health_days	4.7
37027	2012-12-31	chr_population	79914
37027	2012-12-31	chr_premature_death	8555.81
37027	2012-12-31	chr_preventable_hospital_stays	60.894125770217
37027	2012-12-31	chr_primary_care_physicians	5.259071899e-4
37027	2012-12-31	chr_rural	0.378
37027	2012-12-31	chr_sexually_transmitted_infections	197.4
37027	2012-12-31	chr_some_college	0.458319727573821
37027	2012-12-31	chr_teen_births	60.2
37027	2012-12-31	chr_unemployment	0.144
37027	2012-12-31	chr_uninsured	0.206
37027	2012-12-31	chr_uninsured_adults	0.251
37027	2012-12-31	chr_violent_crime	178.460744876013
37027	2013-12-31	chr_65_and_older	0.15957278961102
37027	2013-12-31	chr_access_to_parks	0.04
